AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-8-16,63,58,52,55,53,50,96,85,75,30.16,30.13,30.08,10,10,7,16,7,21,0.06,5,Rain,141
2014-8-17,62,58,55,59,55,51,97,89,81,30.07,29.97,29.88,10,5,1,24,12,38,2.26,8,Rain,153
2014-8-18,63,58,55,56,55,53,97,91,75,30.03,30.00,29.98,10,8,2,14,6,,0.46,8,Rain,201
2014-8-19,63,58,52,55,53,48,100,88,67,30.02,30.01,29.99,10,9,4,9,3,,0.09,7,Fog-Rain,276
2014-8-20,66,56,48,54,51,46,97,83,61,30.02,29.98,29.97,10,10,10,8,2,,0.00,0,,165
2014-8-21,70,60,50,57,54,49,100,82,61,30.19,30.11,30.03,10,10,10,16,4,,0.00,0,,280
2014-8-22,64,60,55,55,54,53,94,85,67,30.23,30.21,30.17,10,10,10,10,7,,0.00,5,Rain,324
2014-8-23,64,59,55,55,54,53,97,85,72,30.18,30.16,30.14,10,10,9,14,5,,0.01,6,Rain,328
2014-8-24,57,56,55,56,55,53,100,94,87,30.16,30.01,29.87,10,8,2,15,5,,0.26,8,Rain,138
2014-8-25,59,56,53,58,57,53,100,98,87,29.95,29.91,29.87,10,6,2,12,6,,0.22,8,Rain,176
2014-8-26,57,55,53,55,53,50,100,94,84,30.01,29.96,29.91,10,8,1,17,7,23,0.73,8,Rain,142
2014-8-27,62,56,51,54,52,50,100,93,75,30.12,30.07,30.01,10,10,6,7,5,,0.02,6,Rain,122
2014-8-28,61,56,50,50,48,46,96,79,62,30.06,29.90,29.67,10,10,10,14,7,21,0.00,6,Rain,125
2014-8-29,59,54,51,53,50,46,100,83,67,29.65,29.52,29.47,10,10,5,14,10,21,0.41,8,Rain,112
2014-8-30,61,54,48,55,52,48,100,94,83,29.75,29.68,29.54,10,9,4,12,3,20,0.13,7,Rain,147
2014-8-31,55,52,50,54,52,50,100,97,89,29.73,29.68,29.65,10,8,4,12,6,,0.55,8,Rain,97
2014-9-1,57,54,48,54,52,48,100,94,77,29.95,29.77,29.67,10,8,2,9,4,,0.35,7,Rain,215
2014-9-2,62,54,48,53,51,49,100,92,69,30.09,30.05,29.96,10,10,6,10,4,,0.01,6,Rain,112
2014-9-3,57,54,52,55,53,50,100,95,83,30.18,30.14,30.08,10,9,2,13,4,,0.07,8,Rain,120
2014-9-4,57,54,52,57,54,51,100,98,87,30.19,30.16,30.13,10,6,1,13,5,20,0.44,8,Rain,152
2014-9-5,60,56,54,57,55,50,100,96,78,30.25,30.20,30.17,10,5,1,16,11,23,0.10,8,Rain,185
2014-9-6,57,55,53,57,56,50,100,99,80,30.15,29.95,29.88,10,3,1,14,8,24,3.44,8,Rain,173
2014-9-7,57,54,50,56,54,50,100,98,87,29.97,29.89,29.86,10,8,2,12,4,,0.19,8,Fog-Rain,274
2014-9-8,57,50,46,53,50,46,100,96,83,30.13,30.05,29.99,10,8,0,8,2,,0.00,4,,152
2014-9-9,57,52,46,53,50,46,100,93,77,30.25,30.21,30.14,10,10,10,6,2,,0.00,3,,86
2014-9-10,63,56,50,53,48,43,94,77,48,30.24,30.21,30.19,10,9,3,13,5,,0.04,7,Rain,91
2014-9-11,57,55,53,55,54,51,100,97,90,30.35,30.27,30.20,10,6,2,10,5,,0.28,8,Rain,223
2014-9-12,59,55,53,54,52,51,100,90,81,30.35,30.31,30.22,10,10,8,7,2,,0.01,8,Rain,148
2014-9-13,61,58,55,56,55,53,97,93,86,30.22,30.14,30.06,10,9,3,7,2,,0.00,7,,210
2014-9-14,57,55,53,54,53,52,100,92,83,30.06,30.00,29.93,10,9,2,8,3,,0.00,8,Rain,154
2014-9-15,61,56,53,57,54,51,100,93,81,29.95,29.91,29.87,10,10,6,8,4,,0.04,8,Rain,175
2014-9-16,62,58,53,57,55,52,100,95,75,29.88,29.86,29.81,10,6,2,14,6,,0.13,7,Rain,317
2014-9-17,57,52,48,51,49,46,100,88,72,29.82,29.70,29.51,10,10,10,8,2,,0.00,5,,74
2014-9-18,60,58,55,54,50,45,89,76,62,29.48,29.25,29.11,10,8,2,28,16,45,0.76,8,Rain,139
2014-9-19,59,56,53,54,52,49,100,88,75,29.87,29.60,29.28,10,7,2,28,17,40,0.84,8,Rain,173
2014-9-20,61,56,51,56,52,47,100,90,72,29.78,29.68,29.48,10,8,3,22,8,30,0.29,8,Rain,185
2014-9-21,64,58,52,55,51,48,100,84,58,29.64,29.41,29.23,10,8,2,34,12,50,0.78,8,Rain,147
2014-9-22,57,52,46,51,49,46,97,89,72,29.87,29.77,29.64,10,10,4,15,8,21,0.91,7,Rain,115
2014-9-23,62,54,46,49,48,46,100,87,62,29.87,29.72,29.51,10,10,10,8,3,,0.00,4,,336
2014-9-24,62,55,48,48,44,41,89,67,46,29.65,29.54,29.46,10,10,10,7,3,,0.00,6,,29
2014-9-25,57,55,53,53,51,45,97,89,62,29.82,29.75,29.66,10,9,3,14,4,21,0.47,8,Rain,329
2014-9-26,62,57,52,53,52,49,100,86,64,29.83,29.81,29.78,10,10,10,13,5,,0.00,7,Rain,343
2014-9-27,61,56,52,54,51,48,100,81,64,29.77,29.68,29.48,10,9,6,18,12,29,0.31,8,Rain,128
2014-9-28,57,54,50,54,52,49,100,91,77,29.60,29.53,29.47,10,8,2,17,11,23,0.74,8,Rain,125
2014-9-29,57,50,45,52,49,45,100,93,83,29.82,29.71,29.60,10,10,9,8,4,,0.03,6,Rain,132
2014-9-30,54,49,44,50,45,38,100,84,59,30.00,29.87,29.76,10,9,2,29,8,36,0.45,8,Rain,237
2014-10-1,54,46,37,48,37,24,100,74,32,30.26,30.08,29.82,10,10,5,29,6,36,0.11,4,Rain,23
2014-10-2,55,46,39,45,34,26,76,62,41,30.22,29.87,29.49,10,10,7,29,11,41,0.14,6,Rain,103
2014-10-3,57,54,52,54,52,44,100,90,69,29.66,29.48,29.43,10,6,2,32,19,50,1.37,8,Rain,170
2014-10-4,55,52,50,53,49,43,100,91,66,30.01,29.85,29.67,10,8,2,20,11,24,0.17,7,Rain,181
2014-10-5,55,52,48,52,46,36,96,78,59,29.92,29.70,29.47,10,9,2,26,15,40,0.23,7,Rain,184
2014-10-6,48,46,42,43,41,39,97,88,71,30.08,30.04,29.94,10,10,5,13,7,,0.15,7,Rain,105
2014-10-7,46,42,37,43,40,37,100,91,79,30.06,30.00,29.96,10,9,4,12,5,,0.16,7,Rain,68
2014-10-8,48,42,35,41,38,35,100,87,61,30.00,29.92,29.75,10,10,10,9,4,,0.02,5,Rain,12
2014-10-9,55,49,43,53,49,41,100,90,77,29.74,29.53,29.28,10,7,3,24,11,30,1.18,8,Rain,127
2014-10-10,54,51,48,52,50,47,100,95,86,29.40,29.35,29.27,10,6,2,26,14,41,1.45,8,Rain,141
2014-10-11,51,50,48,51,49,47,100,97,88,29.78,29.58,29.34,10,6,1,16,10,30,0.93,8,Rain-Thunderstorm,172
2014-10-12,53,50,46,50,47,42,100,94,69,29.79,29.59,29.42,10,8,2,18,8,21,0.45,8,Rain,142
2014-10-13,53,45,39,45,42,38,100,86,61,29.60,29.31,29.02,10,9,2,24,8,30,0.12,5,Rain,77
2014-10-14,51,48,46,39,37,35,74,66,59,29.42,29.36,29.24,10,10,10,18,13,26,0.00,4,Rain,108
2014-10-15,54,51,48,43,40,35,74,65,56,29.45,29.35,29.28,10,10,10,21,13,31,0.00,5,Rain,119
2014-10-16,52,48,46,45,41,38,93,74,63,29.58,29.52,29.45,10,10,9,20,13,25,0.09,7,Rain,115
2014-10-17,55,46,37,44,40,37,97,83,55,29.53,29.29,29.17,10,10,10,14,2,,0.06,4,Rain,58
2014-10-18,52,48,44,47,44,41,100,88,69,29.34,29.25,29.15,10,9,3,17,8,23,0.42,8,Rain,113
2014-10-19,51,48,45,47,45,44,100,92,80,29.24,29.08,28.93,10,8,2,14,9,,0.51,8,Rain,115
2014-10-20,50,45,42,48,45,39,100,91,80,29.36,29.27,29.16,10,9,3,12,8,,0.27,7,Rain,116
2014-10-21,52,48,46,42,40,36,79,71,59,29.32,29.09,28.99,10,10,10,21,12,31,0.00,6,Rain,113
2014-10-22,50,44,39,43,41,38,100,83,66,29.38,29.25,28.99,10,9,5,23,15,34,0.25,6,Rain,110
2014-10-23,48,44,39,43,39,37,96,80,66,29.75,29.54,29.34,10,10,10,13,6,,0.00,4,,84
2014-10-24,46,41,36,42,39,35,97,90,76,29.83,29.80,29.77,10,10,9,9,3,,0.05,4,Rain,30
2014-10-25,50,42,37,43,39,37,100,90,77,29.80,29.72,29.66,10,10,10,12,4,,0.00,1,,6
2014-10-26,46,42,37,43,40,37,100,95,79,29.91,29.86,29.75,10,10,7,8,3,,0.16,6,Rain,98
2014-10-27,50,44,37,42,38,33,100,85,57,29.90,29.75,29.52,10,10,9,15,5,,0.13,4,Rain,62
2014-10-28,45,41,37,40,36,31,96,80,60,29.56,29.44,29.37,10,10,10,6,1,,0.01,7,Rain,66
2014-10-29,50,45,42,40,38,36,92,74,66,29.74,29.66,29.52,10,10,10,16,10,,0.02,8,Rain,116
2014-10-30,48,44,39,45,40,37,100,93,69,29.51,29.48,29.45,10,9,2,21,11,30,0.39,7,Rain,114
2014-10-31,43,41,39,39,38,37,97,89,80,29.54,29.51,29.39,10,8,2,21,12,28,1.28,8,Rain,114
2014-11-1,46,44,41,43,41,39,96,90,85,29.47,29.42,29.33,10,8,3,23,16,33,1.32,8,Rain,115
2014-11-2,46,42,39,41,40,37,100,90,74,29.82,29.68,29.48,10,9,3,25,12,34,0.43,7,Rain,119
2014-11-3,46,41,36,40,36,29,100,81,50,29.82,29.42,29.16,10,9,5,16,8,24,0.36,7,Rain,97
2014-11-4,45,41,37,41,39,36,100,91,74,29.93,29.66,29.34,10,8,2,26,13,36,1.00,8,Rain-Thunderstorm,143
2014-11-5,45,40,35,38,36,31,100,85,58,29.92,29.46,29.08,10,9,7,20,10,25,0.41,7,Rain,50
2014-11-6,46,40,35,40,37,35,100,89,68,29.86,29.69,29.45,10,10,4,15,9,24,0.16,6,Rain,104
2014-11-7,50,48,45,42,37,34,86,68,63,29.98,29.90,29.79,10,10,7,23,16,34,0.21,7,Rain,110
2014-11-8,48,42,37,43,41,37,100,90,80,30.08,30.00,29.97,10,8,2,18,11,23,0.66,6,Rain,96
2014-11-9,44,40,36,40,39,35,100,94,82,30.32,30.24,30.10,10,10,7,6,2,,0.00,4,Rain,85
2014-11-10,44,40,35,42,39,34,100,96,89,30.35,30.33,30.31,10,10,10,9,4,,0.01,5,Rain,93
2014-11-11,44,38,33,38,34,32,100,93,73,30.32,30.31,30.29,10,10,10,6,2,,0.00,0,,67
2014-11-12,43,36,30,35,30,27,100,88,65,30.32,30.24,30.17,10,10,10,6,2,,0.00,0,,88
2014-11-13,43,36,28,33,29,26,92,83,60,30.18,30.14,30.12,10,10,10,7,3,,0.00,0,,90
2014-11-14,43,36,28,32,29,26,96,83,56,30.30,30.24,30.19,10,10,10,6,1,,0.00,1,,102
2014-11-15,43,36,28,33,28,26,92,79,65,30.39,30.36,30.29,10,10,10,7,1,,0.00,0,,21
2014-11-16,43,38,34,41,34,26,96,80,58,30.38,30.35,30.32,10,10,6,10,5,,0.05,7,Rain,348
2014-11-17,45,41,37,43,42,38,100,98,89,30.34,30.23,29.94,10,6,1,10,5,,0.09,7,Rain,343
2014-11-18,52,48,43,47,39,29,100,72,41,29.93,29.79,29.73,10,9,5,26,14,37,0.59,6,Rain,110
2014-11-19,46,44,39,47,44,40,100,97,86,29.84,29.80,29.71,10,9,4,13,6,,0.30,8,Rain,329
2014-11-20,44,39,34,41,38,34,100,98,89,29.70,29.54,29.26,10,7,0,8,3,,0.01,6,Fog-Rain,41
2014-11-21,48,44,39,42,38,33,93,81,56,29.23,29.14,29.00,10,8,2,21,13,31,0.40,7,Rain,121
2014-11-22,43,40,37,39,38,37,97,91,80,29.53,29.37,29.24,10,8,2,14,9,,0.88,7,Rain,103
2014-11-23,42,40,37,39,38,36,100,94,82,29.78,29.68,29.54,10,9,2,15,6,,0.49,7,Rain,103
2014-11-24,43,41,39,41,39,36,100,92,82,30.04,29.81,29.62,10,9,3,16,8,20,0.30,7,Rain,141
2014-11-25,39,36,32,40,37,32,100,99,93,30.21,30.14,30.04,10,10,4,13,6,,0.20,6,Rain,89
2014-11-26,39,34,28,35,31,24,100,95,73,30.21,30.08,29.91,10,10,2,7,3,,0.00,1,,65
2014-11-27,36,32,28,20,9,3,54,38,32,30.05,29.93,29.89,10,10,10,25,12,40,0.00,0,,31
2014-11-28,32,28,25,17,6,-5,66,42,24,30.21,30.15,30.07,10,10,10,10,3,,0.00,2,,74
2014-11-29,36,32,28,36,30,17,100,86,59,30.12,30.10,30.05,10,8,2,10,3,,0.15,8,Rain-Snow,86
2014-11-30,37,34,32,36,34,32,100,98,93,30.04,29.90,29.84,10,8,2,12,7,,1.05,7,Rain,91
2014-12-1,36,33,30,35,32,30,100,96,81,30.01,29.95,29.86,10,9,2,10,3,,0.09,7,Rain-Snow,96
2014-12-2,45,40,36,44,41,36,100,96,89,30.01,29.97,29.93,10,7,3,21,8,23,1.15,8,Rain,166
2014-12-3,39,34,28,40,35,29,100,99,93,29.97,29.95,29.93,10,10,6,14,4,18,0.05,4,Rain,94
2014-12-4,37,32,28,32,30,26,100,87,70,29.95,29.87,29.80,10,10,7,10,4,,0.00,1,,5
2014-12-5,39,36,32,34,30,26,79,76,70,29.80,29.71,29.55,10,10,10,12,5,,0.00,5,,343
2014-12-6,45,40,37,40,38,34,100,97,74,29.82,29.67,29.53,10,9,3,14,4,,0.33,8,Rain,13
2014-12-7,50,48,45,39,37,35,74,64,59,29.81,29.56,29.33,10,10,10,25,19,39,0.03,6,Rain,117
2014-12-8,52,48,44,42,39,36,86,67,57,29.31,29.05,28.88,10,10,6,25,19,39,0.26,7,Rain,120
2014-12-9,45,43,41,43,41,39,100,95,81,29.11,28.88,28.74,10,9,5,15,8,,0.75,7,Rain,114
2014-12-10,45,40,36,42,38,36,100,91,71,29.16,28.92,28.75,10,10,10,16,5,25,0.00,6,Rain,46
2014-12-11,46,42,39,41,39,35,100,86,68,29.27,29.05,28.85,10,10,9,12,5,,0.04,6,Rain,52
2014-12-12,42,40,37,41,39,37,100,98,89,29.83,29.52,29.28,10,8,4,12,4,,0.63,8,Rain,103
2014-12-13,46,42,39,38,37,35,96,81,66,29.94,29.89,29.83,10,10,8,20,12,25,0.06,8,Rain,110
2014-12-14,48,47,46,36,35,34,68,62,56,29.85,29.70,29.57,10,10,10,28,23,41,0.07,8,Rain,116
2014-12-15,50,48,43,38,33,27,82,60,41,29.58,29.46,29.39,10,10,8,26,21,37,0.06,8,Rain,117
2014-12-16,44,40,37,38,36,33,93,85,71,29.67,29.56,29.52,10,9,4,18,10,24,0.39,7,Rain,119
2014-12-17,43,38,34,34,32,29,96,75,58,29.73,29.67,29.55,10,10,10,18,8,25,0.00,6,,81
2014-12-18,45,43,41,33,30,27,67,60,55,29.52,29.31,29.19,10,10,10,21,14,30,0.00,7,Rain,112
2014-12-19,46,44,42,35,33,30,74,65,60,29.26,29.16,29.01,10,10,10,21,15,31,0.01,6,Rain,117
2014-12-20,46,44,41,39,36,33,93,72,59,29.13,28.95,28.81,10,10,7,21,15,30,0.07,8,Rain,117
2014-12-21,42,40,37,40,38,37,100,94,85,29.79,29.44,29.14,10,10,9,10,6,,0.11,7,Rain,85
2014-12-22,45,42,39,41,38,32,97,85,67,30.10,29.97,29.71,10,9,4,23,8,22,0.15,7,Rain,130
